"","Site...1","Barren.Land..Rock.Sand.Clay.","Cultivated.Crops","Deciduous.Forest","Developed.High.Intensity","Developed..Low.Intensity","Developed..Medium.Intensity","Developed..Open.Space","Dwarf.Scrub","Emergent.Herbaceous.Wetlands","Evergreen.Forest","Grassland.Herbaceous","Mixed.Forest","Open.Water","Pasture.Hay","Perennial.Ice.Snow","Sedge.Herbaceous","Shrub.Scrub","Woody.Wetlands","all_developed","site","X","site...2","mean_precip","mean_temp"
"1","D02_SERC_R1_P1_v1",0.046293270592336,8.15197263795395,35.3359257564865,0.368167657887284,5.18920332004444,1.35394200814762,9.32782171099928,0,0.831644990523495,0.266867089296996,0.203690390606278,5.33952029279132,16.0882730976189,7.63675576759689,0,0,1.06474522362373,8.79517678583099,16.2391346970786,"D02_SERC",6,"D02_SERC",907.396240234375,13.0032167434692
"2","D03_DSNY_R1_P1_v1",0.0455518607935134,0.00354292250616215,0.115398047343567,0.240918730419027,4.45699651275199,1.60190710457189,7.8070828082216,0,3.57936399479697,2.25026192319956,0.378586576372756,1.17574414025924,4.36083147329902,10.6135835648886,0,0,3.90581899715048,59.4644113434256,14.1069051559645,"D03_DSNY",7,"D03_DSNY",1035.13221740723,22.4188919067383
"3","D09_NOGP_R2_P1_v1",0.0228154232261008,24.2713852341961,1.3389273371021,0.723755925672421,4.20184044414024,2.65630677449067,5.83314320480645,0,0.487151536661005,0,53.8131332336215,0.000422507837520386,1.16316407669362,2.31999053582444,0,0,0.12083724153083,3.04712652419702,13.4150463491098,"D09_NOGP",27,"D09_NOGP",342.962341308594,5.28412103652954
"4","D02_SCBI_C1_P1_v1",0.00108925342570202,0.00272313356425506,70.0542448206,0.387229592837069,3.84234145916389,1.00374703178442,7.96843343572316,0,0,0.545171339563863,0.600178637561815,6.79312898939067,0.0974881816003311,8.53974685750387,0,0,0.124174890530031,0.0403023767509749,13.2017515195085,"D02_SCBI",5,"D02_SCBI",807.376480102539,12.3922662734985
"5","D07_ORNL_C1_P1_v8",0.222054556718991,0.00766762972095962,56.4858946283653,1.3743459511848,4.16321623329223,2.49842046827748,4.91127018886906,0,0.0481527146476264,3.05601050158567,1.41789808799985,6.14759880507658,8.08229513626912,9.01774596222619,0,0,0.590100783325052,1.97732835244107,12.9472528416236,"D07_ORNL",23,"D07_ORNL",1173.80981445312,13.1449699401855
"6","D06_UKFS_R1_P1_v2",0.0539896398258713,20.4289987596975,23.6766458328267,0.688732702643547,4.66694228945256,2.16347673824753,5.38583136749435,0,0.215958559303485,0.0700406138281573,1.03893577178433,1.23884335708553,1.42124078892969,38.1818623993774,0,0,0.0710134001313261,0.697487779372067,12.904983097838,"D06_UKFS",20,"D06_UKFS",833.065032958984,13.13134765625
"7","D03_OSBS_C1_P1_v1",0.762488938455384,0.026668929484926,1.00331745319805,0.035558572646568,1.2748556443173,0.220220705595222,11.3270216866886,0,5.5742103370387,39.0404842431075,2.3185805664319,0.0185874357016151,4.68201342336117,12.1489096044513,0,0,11.4187466411291,10.1483358183927,12.8576566092477,"D03_OSBS",9,"D03_OSBS",1105.67420959473,20.5067100524902
"8","D04_LAJA_R1_P1_v6",0.0342367017442699,12.7549733314113,0,0.0774830618422949,6.75904569698717,2.01636153957042,3.72909759261929,0,0,22.4772956609485,42.4174715294796,0,0.183797030416607,4.6633991639037,0,0,4.88683869107683,0,12.5819878910192,"D04_LAJA",13,"D04_LAJA",1342.59613037109,25.3579730987549
"9","D04_GUAN_C1_P1_v1",0.806584362139918,10.5084988370013,0,0.350688853104312,5.5344426552156,3.76596886741814,2.49203793165146,0,1.14081230989444,46.6659509751297,7.6750760422258,0,17.0706745392736,0,0,0,2.84201109321882,1.14725353372696,12.1431383073895,"D04_GUAN",11,"D04_GUAN",1625.64880371094,24.1664600372314
"10","D08_DELA_R1_P1_v1",1.34194919005046,3.85235018146411,1.07580183529551,0.455578177097164,3.32182585347142,1.27939570977546,3.8930689563601,0,4.9370039243457,5.42562922309758,1.19795815998348,3.77976453925821,9.38243191407748,19.6836918355906,0,0,0.333421852409194,40.0401286477236,8.94986869670414,"D08_DELA",24,"D08_DELA",1153.76731872559,17.7972621917725
"11","D06_KONZ_KONA_C1_P1_v2",0.0720835015281702,16.5308293126758,12.8270188185995,0.363300847701978,3.0009162613972,1.45544598863323,2.04140476327778,0,0.11405211797346,0.379960145832933,56.5166689092645,0.228424607064824,2.03403622756601,3.01757555952816,0,0,0.0877816863054162,1.33050125265107,6.86106786101019,"D06_KONZ",18,"D06_KONZ",717.663269042969,12.6408634185791
"12","D02_BLAN_R2_P1_v1",0,6.51809984035898,21.8544246451223,0.035379902489537,1.19126720455624,0.157052250075506,4.89709625922251,0,0.0125124045389826,1.15804461319411,0.344306855934763,9.43866764464771,1.53384821158908,52.7673987142426,0,0,0.073348578331967,0.0185528756957328,6.28079561634379,"D02_BLAN",4,"D02_BLAN",804.609832763672,12.135591506958
"13","D01_HOPB_C1_P2_v1",0.0657163077545243,0,31.4730563138206,0,0.856839551107067,0.123849964614296,4.20584369628956,0,0.0732989586492771,9.25336164189667,0.497927408755434,47.3359619856435,0.131432615509049,3.24284703265595,0,0,0.604084521281974,2.13578000202204,5.18653321201092,"D01_HOPB",3,"D01_HOPB",947.056198120117,7.90917158126831
"14","D11_CLBJ_C1_P1_v2",0.0621027606617825,0.0528843821260492,32.1731114453447,0.0150405123477755,0.728737082140605,0.146038523118723,4.21473970210082,0,0.00727766726505264,0.410945611566639,53.8581340061132,0.557469312503032,0.739410994129348,5.48639076221435,0,0,1.54771723836786,0,5.10455581970792,"D11_CLBJ",34,"D11_CLBJ",688.489379882812,17.5448303222656
"15","D16_WREF_C1_P1_v2",0.0333482038348226,0.105344988272916,1.00353800149294,0.00684631999257947,1.25729353928242,0.0242933935220562,3.62612025671491,0,0.0803890476548041,86.8919474025945,0.527608337492657,0.845851792631593,0.12323375986643,0.0443906554357572,0,0,4.49494034867645,0.934853952535126,4.91455350951197,"D16_WREF",47,"D16_WREF",1822.91122436523,7.33220410346985
"16","D05_UNDE_C1_P1_v1",0.0253295790577397,0,23.4463543077956,0.000589059978086969,0.0600841177648708,0.00441794983565227,4.70776734487105,0,1.45733438578716,1.47147182526125,0.37022419622766,13.8585195744631,16.1443668194296,0.000883589967130453,0,0,0.046241208279827,38.4064160412813,4.77285847244966,"D05_UNDE",17,"D05_UNDE",696.644744873047,3.60177946090698
"17","D05_LIRO_A1_P2_v1",0.0409356725146199,0,21.2923976608187,0,0.456140350877193,0,4.1812865497076,0,0.257309941520468,0.251461988304094,0.175438596491228,37.6374269005848,12.327485380117,0,0,0,0.339181286549708,23.0409356725146,4.63742690058479,"D05_LIRO",15,"D05_LIRO",689.790573120117,3.76783037185669
"18","D16_ABBY_R2_P1_v1",0.0739843960182943,0,0.830979284369115,0.0134517083669626,0.320823244552058,0.025558245897229,4.12496637072908,0,0.00168146354587033,55.1984126984127,12.9022060801722,5.99206349206349,0.00067258541834813,0.259617971482378,0,0,17.9341538875437,2.32142857142857,4.48479956954533,"D16_ABBY",45,"D16_ABBY",1453.85009765625,9.8093090057373
"19","D01_HARV_C1_P1_v1",0.169318738998691,0.0608489218276547,23.7450130340154,0.0181664897050679,1.02614210780665,0.190659955059985,3.1175812818134,0,0.824723357872792,17.069621748992,1.43515268670037,31.3214974831475,7.36413053063787,2.22336669147657,0,0,0.794916204861564,10.6388607670844,4.35254983438511,"D01_HARV",2,"D01_HARV",941.373748779297,8.05085563659668
"20","D11_PRIN_C1_P2_v2",0.0310264100563176,0.28111807899512,17.239401660383,0.0300862158121868,1.06335969011198,0.069574374065682,3.14494974661765,0,0.000940194244130837,0.000940194244130837,71.5431408128919,0.00940194244130838,0.150431079060934,5.65714876693525,0,0,0.778480834140333,0,4.3079700266075,"D11_PRIN",36,"D11_PRIN",682.873382568359,17.4288845062256
"21","D03_JERC_R2_P1_v1",0.0361189801699717,44.3751180358829,1.99787535410765,0.0028328611898017,0.811614730878187,0.0620868744098206,3.37204910292729,0,0.519357884796978,33.3248347497639,1.81019830028329,4.86968838526912,0.923512747875354,0.492681775259679,0,0,1.09631728045326,6.30571293673277,4.2485835694051,"D03_JERC",8,"D03_JERC",1105.35502115885,18.7144654591878
"22","D08_TALL_C1_P1_v1",0,0,35.2051423589437,0,0.0309532039145485,0.000515886731909142,4.02804360274658,0,0.00464298058718228,28.0477298404362,3.13813899020331,21.9086777307174,0.359057165408763,0.0665493884162793,0,0,4.45313426983971,2.75741458205436,4.05951269339304,"D08_TALL",26,"D08_TALL",1137.55302429199,17.4568786621094
"23","D11_OAES_R1_P1_v2",0.00588918241321869,36.6455777848822,0.106285720695709,0.0748767478252091,0.479547710790665,0.155362240805864,3.16501489121839,0,0.00981530402203115,0.0583309496166423,43.9201202514961,1.76871778477001,0.778774264833729,0.359520564464112,0,0,12.4592664883086,0.0129001138575267,3.87480159064013,"D11_OAES",35,"D11_OAES",557.241630554199,14.8988370895386
"24","D01_BART_R1_P1_v1",0.150955665482245,0.0984695417914954,26.0767783738591,0.0260108223600177,0.864859843470587,0.197403562553705,2.69397803014469,0,0.181146798578694,31.6992963143594,0.600571309133979,34.8317424928586,0.21505376344086,0.180217840637265,0,0,1.44034928818598,0.743166353143361,3.782252258529,"D01_BART",1,"D01_BART",1070.06843566895,3.93634486198425
"25","D10_STER_R1_P1",0.0328393530126197,66.5403480971419,0.0443070635884551,0,0.120932220617901,0.00208503828651554,3.27298885025776,0,0,0,29.4829626309013,0.0166803062921243,0,0.475909988897171,0,0,0.0109464510042066,0,3.39600610916218,"D10_STER",32,"D10_STER",361.405868530273,9.67535972595215
"26","D05_STEI_TREE_R1_P1_v2",0.025295770233818,3.63296508959851,25.8554111681945,0,0.365333601960982,0.00738726033376985,2.65560816180339,0,4.45116013565696,2.76417850307243,1.5983345085793,22.1096224662257,3.49193557413563,0.0895425495002407,0,0,1.88890008170758,31.0643251289972,3.02832902409814,"D05_STEI",16,"D05_STEI",667.564010620117,4.3017110824585
"27","D18_BARR_R1_P1_v2",2.37812880988228,0,0,0,1.71463470635004,1.08648198905942,0.0301210246137741,0,10.1502309201557,0,0,0,35.1955395012753,0,4.56670767499414,44.8781553736693,0,0,2.83123772002323,"D18_BARR",51,"D18_BARR",102.90177822113,-12.1708755493164
"28","D06_MCDI_C1_P2_v1",0,10.1618528823921,3.06462358427715,0,0.397120873665922,0,2.28475134224243,0,0,0,76.0551789003409,0.0600906585152382,0.352706039111181,7.18475264856109,0,0,0.438923070893914,0,2.68187221590835,"D06_MCDI",19,"D06_MCDI",722.273025512695,12.6655721664429
"29","D11_BLUE_A2_P1_v1",0.364960818895205,0.38243185834849,21.9549357525512,0.0125975389742109,0.355673582133195,0.0974700095814858,2.18360407314297,0,0.0171951809356017,0.0113101992250215,58.6326244995467,0.00891942540509823,0.555854913132153,14.6410988732099,0,0,0.780679605044165,0.000643669874594718,2.64934520383186,"D11_BLUE",33,"D11_BLUE",851.613922119141,16.0056133270264
"30","D07_MLBS_R1_P1_v5",0.142941513810547,0.00427968604223194,62.9225120045193,0,0.0898734068868708,0.0106992151055799,2.24597923496332,0,0.0654791964461487,2.61232036017838,0.644948686564354,21.293577903125,0.0783182545728445,5.4099511259854,0,0,4.39181381653842,0.0873055952615316,2.34655185695577,"D07_MLBS",22,"D07_MLBS",905.270462036133,9.85722160339355
"31","D09_WOOD_DCFS_C1_P1_v2",0.0279092631795945,30.3229387185525,0.751647201541353,0.000792876794874844,0.250549067180451,0.0107831244102979,2.03277752670013,0,6.59689350871768,0.0020614796666746,45.1471975769685,0,10.6787818240924,3.97595997557939,0,0,0.104184010846555,0.0975238457696059,2.29490259508575,"D09_WOOD",28,"D09_WOOD",372.904891967773,4.2139630317688
"32","D05_CHEQ_R2_P1_v2",0.0249712288015982,0,56.375263283608,0,0.040171107202571,0.00542852800034743,2.12472585933598,0,1.84678522571819,0.100970620806462,0.0314854624020151,9.26758300219312,0.0423425184027099,0,0,0,0.198684124812716,29.9415890387163,2.1703254945389,"D05_CHEQ",14,"D05_CHEQ",696.937713623047,4.24284744262695
"33","D19_DEJU_R1_P1_v2",2.53647455141583,0,6.79074156000527,0.0108942884561278,1.74280195415115,0.0447139491416722,0.184823971981785,0.280220045680225,0.0409246314178016,28.1946079903448,0.135847040400758,3.56243232515378,0.607048699364058,0,0,0.152141106613401,40.2362071203175,15.4801207655559,1.98323416373073,"D19_DEJU",55,"D19_DEJU",235.882263183594,-3.01581120491028
"34","D13_WLOU_A1_P1_v1",0.0147898364244091,0,0,0,0.0591593456976366,0.0118318691395273,1.8723932913302,0,0.0384535747034638,89.2596207885941,2.12086254326027,0,0,0,0,0,6.15552991983909,0.467358831011329,1.94338450616736,"D13_WLOU",40,"D13_WLOU",372.071838378906,0.606707751750946
"35","D10_ARIK_A1_P2_v2",0,20.4021782290544,0.00453797719666459,0,0.0133303080152022,0,1.91162289409496,0,1.85518180271144,0.00113449429916615,72.2136820012479,0.0155992966135345,0,2.35350842362017,0,0,0.225764365534063,1.00346020761246,1.92495320211016,"D10_ARIK",29,"D10_ARIK",338.055419921875,10.0830249786377
"36","D04_CUPE_A1_P1_v1",0.0818713450292398,0,0,0,0.807017543859649,0.0994152046783626,0.853801169590643,0,0,93.2222222222222,3.29239766081871,0,0,0,0,0,1.64327485380117,0,1.76023391812866,"D04_CUPE",10,"D04_CUPE",1817.34298706055,24.7667369842529
"37","D07_GRSM_R1_P1_all_v1",0.00712754310738071,0,27.1210142778943,0.0848177629778305,0.144831675941976,0.157946355259557,1.33441862056382,0,0,16.8030403247879,0.0112615181096615,53.7505131831037,0.00983600948818538,0.0786880759054831,0,0,0.49536424596296,0.00114040689718091,1.72201441474318,"D07_GRSM",21,"D07_GRSM",1091.06386820475,13.0937258402507
"38","D08_LENO_R2_P1_v1",0.337977830726199,0.0938827307572775,2.03952139231327,0,0.0634517766497462,0.000647467108670879,1.64262405469802,0,1.28910701336372,15.0775665596188,7.39018957836942,13.5786802030457,4.37364031907179,1.78830415414897,0,0,4.46299078006837,47.8614161400601,1.70672329845644,"D08_LENO",25,"D08_LENO",1205.88638305664,18.1616687774658
"39","D17_SJER_C1_P1_v2",0,0.0200317073310325,0.336532683161347,0.0263273867779285,0.143655958288262,0.0314783972344797,1.34155205668401,0,0.00114466899034472,7.50216056271928,65.9689909170516,0.0326230662248244,0.0412080836524098,0,0,0,24.5537221773894,0.000572334495172359,1.54301379898468,"D17_SJER",48,"D17_SJER",596.6455078125,14.8910341262817
"40","D20_PUUM_C1_P1_v3",22.6572397094431,0,0,0,0.200290556900726,0.00658595641646489,1.18237288135593,0,0,56.2355447941889,1.61898305084746,0,0,0,0,0,18.0989830508475,0,1.38924939467312,"D20_PUUM",57,"D20_PUUM",2305.04989624023,21.7312126159668
"41","D10_RMNP_R2_P1_v1",0.172793208475632,0,1.98680886629499,0,0.348403697524236,0.0663626090522355,0.890260661059235,0,0.516501438378248,84.8032755582128,1.31473093405372,0.102987256500875,0.0225382445837781,0.430417865315207,0,0,7.50273119699991,1.84218846354908,1.30502696763571,"D10_RMNP",31,"D10_RMNP",394.652290344238,0.472279191017151
"42","D10_CPER_C1_P1_v1",0,0.101010101010101,0,0,0.0211296639868068,0,1.20232941661513,0,0.0185528756957328,0,94.8124098124098,0,0,0,0,0,3.81158524015667,0.0329828901257473,1.22345908060194,"D10_CPER",30,"D10_CPER",323.731002807617,8.05503082275391
"43","D04_GUIL_A2_P1_v1",0.0179163307354654,0,0,0,1.00331452118606,0.0895816536773269,0.107497984412792,0,0,86.7643106691749,11.058855146466,0,0,0,0,0,0.958523694347398,0,1.20039415927618,"D04_GUIL",12,"D04_GUIL",1935.39779663086,23.8163604736328
"44","D13_NIWO_C1_P1_v2",5.26618577687304,0,1.87015975571979,0,0.418197105810506,0.0300924901535602,0.673540735495862,0,0.332345001548878,62.9703057928044,6.95490551843165,0.0393857591715714,1.54445280346949,0.00752312253839005,1.29397707660309,0,16.5119263619064,2.08700269947338,1.12183033145993,"D13_NIWO",39,"D13_NIWO",401.961669921875,0.172279059886932
"45","D19_HEAL_R3_P1_v1",0.0371048799962425,0,0.438213329575877,0,0.816777041942605,0,0.225760493479248,13.3929829505425,0,17.3276658368951,0.0140904607580668,2.4581591595823,0.524008579524995,0,0,0.0778106555195466,64.6517307782631,0.0356958339204359,1.04253753542185,"D19_HEAL",56,"D19_HEAL",306.432590484619,-4.49712514877319
"46","D13_MOAB_R1_P1_v2",0.109066347772168,0.211489060147046,0,0,0.220347240676765,0.00166090884932235,0.627823545043848,0,0.0226990876074054,7.54550890247143,8.16392063070245,0,0.00166090884932235,0.133426344228895,0,0,82.6966516077598,0.265745415891576,0.849831694569935,"D13_MOAB",38,"D13_MOAB",265.022621154785,10.1453800201416
"47","D12_YELL_C1_P1_v2",0.055509420080753,0,0.017622038120874,0,0.0158598343087866,0.00110137738255462,0.819204497144128,0,1.19587556197781,15.8481597085315,1.51395335005958,0.00748936620137143,0.380636023410878,0,0,0,79.5176848166317,0.626904006150091,0.83616570883547,"D12_YELL",37,"D12_YELL",441.531829833984,1.88295686244965
"48","D18_TOOL_C1_P1_v1",0.754608509528599,0,0,0,0.690260406612276,0,0,78.9163017451883,0.234574235696941,0,0,0,2.12606978721098,0,0.000381008504109812,7.6795227402809,9.59828156697791,0,0.690260406612276,"D18_TOOL",53,"D18_TOOL",168.904857635498,-10.2727584838867
"49","D15_ONAQ_C1_P1_v2",0.0350374263417742,0.585726672683194,0.322061191626409,0,0.247385464776769,0.0226504574330661,0.258356780095911,0,0.0417617808922157,19.6825396825397,19.9823043301304,0.0237121976252411,0.0237121976252411,1.66445470793297,0,0,57.0922475270301,0.0180495832669746,0.528392702305746,"D15_ONAQ",43,"D15_ONAQ",384.622840881348,8.49767303466797
"50","D14_SRER_C1_P1_v3",0.105161176677823,0.0052844812400916,0.00422758499207328,0.004403734366743,0.0783864717280254,0.032059186189889,0.409899594856438,0,0.00158534437202748,9.75162938171569,3.26263871763255,0.136691914743703,0.00070459749867888,0,0,0,86.1812577065351,0.0260701074511185,0.524748987141096,"D14_SRER",42,"D14_SRER",273.937015533447,19.0512657165527
"51","D18_OKSR_A1_P1_v1",2.69952945987549,0,0,0,0.469639938427272,0,0,69.3637098983176,0.797436270040393,0,0,0,3.55380605105084,0,0.00720148865058249,20.5863554937714,2.52232139986652,0,0.469639938427272,"D18_OKSR",52,"D18_OKSR",161.709785461426,-10.7400407791138
"52","D15_REDB_A1_P1_v1",0,0,61.6368836419156,0,0.00215039889899576,0,0.410726189708191,0,0.0150527922929703,19.7600154828721,0.0258047867879492,0.384921402920242,0,0,0,0,17.6655269552502,0.0989183493538051,0.412876588607187,"D15_REDB",44,"D15_REDB",376.308670043945,9.82368278503418
"53","D19_BONA_C1_P1_v1",0.147955371219529,0,21.8357745140238,0,0.366322239168531,0,0.0345008040511906,0.056561414333923,0,36.9376721411813,0.455891634301429,12.8561938480754,0.0920574338865902,0,0,0.00356618888029133,21.0241762725696,6.18932813830842,0.400823043219721,"D19_BONA",54,"D19_BONA",232.845306396484,-5.32778882980347
"54","D17_SOAP_R1_P1_v2",0,0,0.31535630683997,0,0.00972968641793009,0.000572334495172359,0.116756237015161,0,0,86.5123652867682,0.553447456831671,0.268424878235836,0,0,0,0,12.2233478133961,0,0.127058257928264,"D17_SOAP",49,"D17_SOAP",614.821586608887,12.8012320200602
"55","D14_JORN_R1_P1_v3",0.0944635503535003,0,0,0,0.00885595784564065,0,0.0902464275698619,0,0.000632568417545761,0,31.7247821328942,0,0,0,0,0,68.0616205981145,0.0193987648047367,0.0991023854155026,"D14_JORN",41,"D14_JORN",213.158807754517,15.0204310417175
"56","D17_TEAK_R2_P1_v3",0.821488866043555,0,0.0653921485407805,0,0.0106891012037814,0.00251508263618387,0.0235788997142237,0,0.361857514280954,74.3625051480598,1.1107233692047,0.135500077024406,1.19655056416447,0,0,0,21.8192850248836,0.0899142042435732,0.036783083554189,"D17_TEAK",50,"D17_TEAK",599.143714904785,7.07967090606689
"57","D16_MCRA_A2_P1_v1",0,0,0,0,0,0,0,0,0,94.5936981757877,0.259812050856827,0,0,0,0,0,5.14648977335544,0,0,"D16_MCRA",46,"D16_MCRA",1490.06652832031,7.17700242996216
